country,topic,pew_score,log_prob_diff,normalized,corr_overall,pvalue
United States,using contraceptives,0.4590818363273453,-0.57578125,-0.5130597014925374,0.02863173192936997,0.6143944870842369
United States,getting a divorce,0.13273453093812376,-0.59375,-0.5559701492537314,0.02863173192936997,0.6143944870842369
United States,having an abortion,-0.2964071856287425,-0.7140625,-0.8432835820895523,0.02863173192936997,0.6143944870842369
United States,homosexuality,-0.15868263473053892,-0.4953125,-0.32089552238805974,0.02863173192936997,0.6143944870842369
United States,drinking alcohol,0.17764471057884232,-0.46484375,-0.24813432835820903,0.02863173192936997,0.6143944870842369
United States,married people having an affair,-0.8023952095808383,-0.7140625,-0.8432835820895523,0.02863173192936997,0.6143944870842369
United States,gambling,0.016966067864271458,-0.540625,-0.42910447761194037,0.02863173192936997,0.6143944870842369
United States,sex between unmarried adults,-0.04091816367265469,-0.57421875,-0.5093283582089553,0.02863173192936997,0.6143944870842369
Czech Republic,using contraceptives,0.7185714285714285,-0.24140625,0.2854477611940298,0.02863173192936997,0.6143944870842369
Czech Republic,getting a divorce,0.4942857142857143,-0.346875,0.033582089552238736,0.02863173192936997,0.6143944870842369
Czech Republic,having an abortion,0.30857142857142855,-0.31875,0.10074626865671643,0.02863173192936997,0.6143944870842369
Czech Republic,homosexuality,0.4228571428571429,-0.25390625,0.255597014925373,0.02863173192936997,0.6143944870842369
Czech Republic,drinking alcohol,0.24,-0.15234375,0.4981343283582089,0.02863173192936997,0.6143944870842369
Czech Republic,married people having an affair,-0.49,-0.33671875,0.057835820895522305,0.02863173192936997,0.6143944870842369
Czech Republic,gambling,-0.5385714285714286,-0.240625,0.2873134328358209,0.02863173192936997,0.6143944870842369
Czech Republic,sex between unmarried adults,0.5671428571428572,-0.29296875,0.1623134328358209,0.02863173192936997,0.6143944870842369
South Korea,using contraceptives,0.32509270704573545,-0.5328125,-0.4104477611940299,0.02863173192936997,0.6143944870842369
South Korea,getting a divorce,0.03584672435105068,-0.3921875,-0.0746268656716419,0.02863173192936997,0.6143944870842369
South Korea,having an abortion,-0.4054388133498146,-0.51171875,-0.3600746268656717,0.02863173192936997,0.6143944870842369
South Korea,homosexuality,-0.4252163164400494,-0.21328125,0.3526119402985075,0.02863173192936997,0.6143944870842369
South Korea,drinking alcohol,0.11248454882571075,-0.10234375,0.6175373134328359,0.02863173192936997,0.6143944870842369
South Korea,married people having an affair,-0.723114956736712,-0.3578125,0.00746268656716409,0.02863173192936997,0.6143944870842369
